0	[0, 1, 2, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 74, 3, 4, 5, 75]
1	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]
2	[24, 25]
3	[26, 27]
4	[28, 29, 30, 36, 35, 34, 33, 32, 31, 37, 38, 39, 40, 41]
5	[42, 43]
6	[44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]
7	[58, 59]
8	[76, 77, 78, 79, 80, 81]
9	[82, 83, 96, 97, 98, 99, 100, 101, 102, 103, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 95, 94]
10	[104, 105]
11	[106, 107]
12	[108, 109]
13	[110, 111, 112, 113, 114, 115, 121, 120, 119, 118, 117, 116, 122, 123, 124, 125, 126, 127]
14	[128, 129, 130, 131, 132, 133]
15	[134, 135]
16	[136, 137]
17	[138, 139]
18	[140, 141]
19	[142, 143, 144, 145, 146, 147, 148, 149, 150, 151]
20	[152, 153]
21	[154, 155]
