0	[0, 1, 2, 3, 4, 5, 6, 8, 9, 7]
1	[10, 11, 12, 13, 14, 15]
2	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]
3	[28, 29]
4	[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]
5	[40, 41, 42, 43, 44, 45]
6	[46, 47, 48, 49, 50, 51, 52, 53, 54, 55]
7	[56, 57]
8	[58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]
9	[72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99, 100, 108, 107, 106, 105, 104, 103, 102, 111, 112, 113, 114, 115, 110, 109, 101, 118, 117, 120, 121, 119, 116, 95]
10	[122, 123]
11	[124, 125]
12	[126, 127]
13	[128, 129, 130, 131, 132, 133]
14	[134, 135, 136, 137, 138, 139]
15	[140, 141]
16	[142, 143, 144, 145, 146, 147, 148, 149, 150, 151]
17	[152, 153]
18	[154, 155]
19	[156, 157]
20	[158, 159]
21	[160, 161]
